code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
PHYS 125,Principles of Physics I(opens in a new tab),,,,,,,"PHYS 125 - Principles of Physics I (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186913
PHYS 125A,Principles of Physics I - Discussion(opens in a new tab),,,,,,,PHYS 125A - Principles of Physics I - Discussion (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186934
PHYS 126,Principles of Physics II(opens in a new tab),,,,,,,"PHYS 126 - Principles of Physics II (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186935
PHYS 126A,Principles of Physics II - Discussion(opens in a new tab),,,,,,,PHYS 126A - Principles of Physics II - Discussion (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186936
PHYS 135,Physics for Scientists and Engineers I(opens in a new tab),,,,,,,"PHYS 135 - Physics for Scientists and Engineers I (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186922
PHYS 136,Physics for Scientists and Engineers II(opens in a new tab),,,,,,,PHYS 136 - Physics for Scientists and Engineers II (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186916
PHYS 137,Physics for Scientists and Engineers III(opens in a new tab),,,,,,,PHYS 137 - Physics for Scientists and Engineers III (opens in a new tab) Units: 4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186917
PHYS 230,Physical Reasoning(opens in a new tab),,,,,,,PHYS 230 - Physical Reasoning (opens in a new tab) Units: 3 ; Breadth Area: GE-1B; Second Composition,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186925
PHYS 271,Physics of Inclusive Dance(opens in a new tab),,,,,,,"PHYS 271 - Physics of Inclusive Dance (opens in a new tab) Units: 4 ; Breadth Area: GE-5A, GE-5C; Diversity",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189767
PHYS 303,Biophysics(opens in a new tab),,,,,,,PHYS 303 - Biophysics (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188485
PHYS 304,Acoustics(opens in a new tab),,,,,,,PHYS 304 - Acoustics (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188660
PHYS 305,Environmental Health Science Electromagnetic and Nuclear Radiation(opens in a new tab),,,,,,,PHYS 305 - Environmental Health Science Electromagnetic and Nuclear Radiation (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188810
PHYS 307,Social Impact Through Sustainable Solar Design(opens in a new tab),,,,,,,PHYS 307 - Social Impact Through Sustainable Solar Design (opens in a new tab) Units: 3 ; Breadth Area: GE-UD-5; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188559
PHYS 308,Sustainable Energy Systems(opens in a new tab),,,,,,,PHYS 308 - Sustainable Energy Systems (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189222
PHYS 330,Analytic Mechanics(opens in a new tab),,,,,,,PHYS 330 - Analytic Mechanics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186918
PHYS 340,Statistical Mechanics and Thermodynamics(opens in a new tab),,,,,,,PHYS 340 - Statistical Mechanics and Thermodynamics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186919
PHYS 350,Quantum Mechanics I(opens in a new tab),,,,,,,PHYS 350 - Quantum Mechanics I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186920
PHYS 351,Quantum Mechanics II(opens in a new tab),,,,,,,PHYS 351 - Quantum Mechanics II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186926
PHYS 360,Selected Topics(opens in a new tab),,,,,,,PHYS 360 - Selected Topics (opens in a new tab) Units: 1,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186927
PHYS 380,Advanced Laboratory: Electronics(opens in a new tab),,,,,,,PHYS 380 - Advanced Laboratory: Electronics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186914
PHYS 381,Advanced Laboratory II: Experimental Methods(opens in a new tab),,,,,,,PHYS 381 - Advanced Laboratory II: Experimental Methods (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186915
PHYS 398,Internship(opens in a new tab),,,,,,,PHYS 398 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189034
PHYS 450,Electromagnetism I(opens in a new tab),,,,,,,PHYS 450 - Electromagnetism I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186928
PHYS 451,Electromagnetism II(opens in a new tab),,,,,,,PHYS 451 - Electromagnetism II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186921
