code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
ACCT 210,Introduction to Financial Accounting(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify the forms of business organizations and explain the three principal types of business activities; Name the four primary financial statements and illustrate their main components; List major assumptions and principles in financial reporting; Explain the accounting information system and demonstrate how it is used to record and report common business transactions; Prepare a classified balance sheet, calculate and compare liquidity and solvency ratios using financial reports of public companies; Prepare an income statement, calculate and compare profitability and efficiency ratios using financial reports of public companies; Illustrate how to record and report cash, receivables, long-lived assets, liabilities, and stockholders’ equity items and identify related potential unethical accounting practices; Describe basic differences between the U.S. generally accepted accounting principles (GAAP) and international financial reporting standards (IFRS). Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 210 - Introduction to Financial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186903
ACCT 215,Introduction to Managerial Accounting(opens in a new tab),3,ACCT 210. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe cost classifications. Describe cost estimation and analysis methods; Apply the cost-volume-profit analysis for business decisions; Explain and apply job-order and activity-based costing methods to different businesses; Describe standard costs and perform variance analysis; Prepare operating budgets for profit planning; Explain and apply different methods for capital budgeting decisions; Describe various methods and calculate measures for performance evaluation; Apply ethical standards in managerial decisions. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .,ACCT 215 - Introduction to Managerial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187384
ACCT 220,Legal Environment of Business(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: determine the purpose, sources, and importance of the law and its impact on society; explain the interrelationships among the legal, social, and environment systems and impacts of ethics and social responsibility on legal reasoning; describe the functions and operation of the court system to maintain social justice and equity; illustrate the litigation process at the trial court level that may or may not resolve issues related to social justice and equity; illustrate and evaluate impacts of alternatives to resolve controversies and disputes on social justice and equity; review the constitutional grounds for regulating business and impacts on social justice; distinguish between criminal law and civil law and demonstrate how does each affect individual and society; explain three categories of torts-intentional torts, negligence, and strict liability as they relate to social justice; demonstrate the negative impacts of racial redlining on social justice and equity; use the “Issue, Rule, Application, Conclusion” (IRAC) structure of legal analysis to analyze issues of social justice and equity: form an issue statement, select the proper rule, apply the facts to the rule, and conclude GE-4. Lower-division Social and Behavioral Sciences Electives Learning Outcomes Explain how social, political, and economic institutions and/or principles intersect with each other. Describe how people produce, resist, and/or transform social, political, and economic institutions/principles. Investigate contemporary and/or historical events/issues from a social science perspective. Social Justice Overlay Learning Outcomes 1. Use a disciplinary perspective to analyze issues of social justice and equity. 2. Describe the challenges to achieving social justice. 3. Identify ways in which individuals and/or groups can contribute to social justice within local communities, nations, and/or the world. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 220 - Legal Environment of Business (opens in a new tab) Units: 3 ; Breadth Area: GE-4; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186907
ACCT 300,Business Leadership for Accountants(opens in a new tab),3,"ACCT 210 and ACCT 215 with grade “C” or better Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,"Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe how do business leaders use accounting knowledge to establish a vision for a company. Compare leadership styles on their ability to motivate others to achieve the vision through accounting policies and procedures. Explain how companies create effective accounting governance. Illustrate ethical and unethical decisions made by business leaders on financial and tax reporting and their impacts. Identify key elements to communicate, orally and in writing, about career opportunities in accounting. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 300 - Business Leadership for Accountants (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189826
ACCT 302,Cost Accounting(opens in a new tab),3,ACCT 215. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Spring ONLY Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify the costing systems used in service, merchandising and manufacturing industries; Use job-order costing to determine the cost for jobs which require different types and amounts of direct materials, direct labor and indirect costs; Use the process costing system to determine the product costs when a large number of homogeneous products are manufactured; Estimate the cost of defective",ACCT 302 - Cost Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186711
ACCT 311,Intermediate Financial Accounting I(opens in a new tab),3,"ACCT 210 with grade C or better. Possible Instructional Methods: Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Explain elements of primary financial statements and the statement of comprehensive income. Explain the composition of cash and the recognition and valuation of accounts receivable. Calculate inventory costing and discuss additional valuation issues of inventories. Discuss the valuation of property, plant and equipment in acquisition and disposition. depreciation methods, and impairment issues. Discuss the types and impairment of intangible assets. Explain and apply the five-step model for revenue recognition process. Apply appropriate accounting classification, measurement, and reporting of current liabilities. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 311 - Intermediate Financial Accounting I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186814
ACCT 312,Intermediate Financial Accounting II(opens in a new tab),3,"ACCT 311 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify and apply appropriate accounting classification, measurement, and reporting of debt investments. Explain the accounting valuation and reporting for bonds and leases. Discuss the accounting and reporting for pensions and post-retirement benefits. Discuss the accounting for income taxes, net operating loss and financial statement presentation. Explain the accounting for stockholders’ equity transactions, including issuance and repurchase of stock and payment of dividends. Discuss dilutive securities and determine earnings per share in simple and complex capital structures. Prepare a statement of cash flows using direct and indirect methods. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 312 - Intermediate Financial Accounting II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186813
ACCT 320,Business Law for Accountants(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Summarize basic contract law and explain advanced contract concepts such as the Statute of Frauds, assignment, delegation, performance and discharge, breach of contract and remedies; Describe the Uniform Commercial Code and domestic sales and lease contracts, title, risk and insurable interest; Explain the basic concepts of warranties and product liability. Explain legal concepts related to negotiable instruments, creditors’ rights and bankruptcy; Name the requirements to form and terminate an agency relationship; Explain basic employment, labor law and employment discrimination concepts; Summarize the advantages and disadvantages of business entities such as the C and S Corporations, sole proprietorships, partnerships, limited partnerships, limited liability partnerships, and limited liability companies; Identify the formation and financing of corporations and the roles of corporate shareholders, directors, and officers; Name the requirements of corporate mergers and acquisitions; Explain the requirements of federal and state securities laws; Name the basic terminology associated with real and personal property. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 320 - Business Law for Accountants (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186455
ACCT 321,Auditing I(opens in a new tab),3,ACCT 312 with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe the auditing standards applicable to both Issuers and Nonissuers; Explain the ethical and legal responsibilities of financial statement auditors in the public accounting profession; Describe audit objectives, audit planning and analytic procedures, and risk assessment; Describe the types and persuasiveness of audit evidence; valuate, test and report internal controls for both manual and IT environments; Apply statistical and non-statistical audit sampling methods to gather and evaluate evidence; Develop problem solving and critical thinking skills through audit cases. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 321 - Auditing I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186454
ACCT 325,Accounting Ethics(opens in a new tab),3,"ACCT 311 Possible Instructional Methods: Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify ethical issue(s) arising in business situations; Discuss different approaches to ethical reasoning; Apply ethical reasoning techniques to ethical dilemmas; Communicate an appropriate conclusion to an ethical dilemma; Explain the codes of conduct for accountants by the American Institute of CPA’s (AICPA), the Securities and Exchange Commission (SEC), and Sarbanes-Oxley Act (SOX); Explain the ethical responsibilities an accountant has in conducting an audit and in the professional accounting working environment. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 325 - Accounting Ethics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186456
ACCT 331,Federal Taxation for Individuals(opens in a new tab),3,ACCT 210 with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe the role of taxes in today’s economic environment, tax policy, and the sources of Federal tax law; Identify taxable income for individuals; Differentiate between types and benefits of tax deductions and report deductions; Determine and report capital gains and losses; Calculate and report an individual’s taxable income and tax liability; Apply analytical reasoning tools to assess the timing of income recognition and deductions; Discuss tax planning and strategies for individuals. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 331 - Federal Taxation for Individuals (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186712
ACCT 335,VITA - Individual Income Tax Return Preparation(opens in a new tab),3,Department consent. Strongly Recommended Preparation: ACCT 331,,A-F,,Spring ONLY Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify and adhere to the ethical standards of a VITA volunteer; Develop and apply professional skepticism essential to solving tax issues; Identify and describe the intake/interview and quality review VITA processes; Prepare VITA in-scope Federal and California individual income tax returns. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .,ACCT 335 - VITA - Individual Income Tax Return Preparation (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186710
ACCT 340,Accounting Information Systems(opens in a new tab),3,ACCT 210 with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Explain how accounting information systems add value to an organization; Describe the production of accounting information for the five accounting and business cycles; Describe and apply the internal control framework to create basic internal controls of the accounting information systems; Construct document flow charts and data flow diagrams to analyze the business cycles and processes; Analyze accounting information for business decisions using advanced data-analysis functions, database applications or other commonly-used accounting software; Explain the fundamentals of information security, accounting database systems, disaster recovery, and business continuity. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 340 - Accounting Information Systems (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186453
ACCT 341,Introduction to Data Analytics in Accounting(opens in a new tab),3,"ACCT 340. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe the principles of a good design for data visualization; Apply data analytics in accounting using Excel; Apply data analytics and data visualization in accounting using analytics software; Describe and apply ETL (extract, transform and load relevant data) in accounting. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 341 - Introduction to Data Analytics in Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189577
ACCT 370,Accounting for Governmental and Not-for-Profit Entities(opens in a new tab),3,ACCT 312 with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Explain the differences in measurement focus and basis of accounting between governmental entities and for-profit businesses.; List fund categories for state and local governments and indicate the measurement focus, basis of accounting, and financial reporting of each fund; Describe budgetary accounting within state and local governments, including recording legally adopted budget and encumbrance; Record revenue and expenditure transactions in governmental funds for state and local governments; Explain the nature and contents of a Comprehensive Annual Financial Report (CAFR); Prepare the adjustment needed to derive government-wide financial statements from fund financial statement data; Describe the content of financial statements for not-for-profit entities; Describe the accounting for revenues and expenses for not-for-profit entities; Analyze financial statements for state and local governments and not-for-profit entities. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 370 - Accounting for Governmental and Not-for-Profit Entities (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186713
ACCT 398,Internship(opens in a new tab),1-3,Department consent and minimum 2.0 GPA. Credit Restrictions: No,,CR/NC,,,ACCT 398 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188953
ACCT 411,Advanced Financial Accounting(opens in a new tab),3,"ACCT 312 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify and apply the equity method of accounting to an investment. Identify and apply appropriate accounting procedures to record and report derivative financial instruments. Apply appropriate accounting procedures to prepare consolidated financial statements for the parent company with its fully- and partially-owned subsidiaries as of the date of acquisition. Apply appropriate accounting procedures to prepare consolidated financial statements in periods subsequent to acquisition, including intraentity transfer of assets. Apply appropriate accounting procedures to translate financial statements in foreign currency and explain the impact from the translation on the consolidated financial statements. Recall the criteria used to identify and disclose reportable segments. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 411 - Advanced Financial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186457
ACCT 425,Auditing and Control Environment(opens in a new tab),3,"ACCT 321 with grade C or better Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: Document, examine, and conclude the effectiveness of the relevant automated and manual controls within the flow of an entity’s transactions for business processes. Recall the types of threats and attacks on an entity’s information systems. Apply current regulations and standards related to information security and privacy to assess the design and implementation of accounting information systems and controls. Use appropriate audit procedures to test an entity’s controls over security, confidentiality and privacy to draft the engagement report. Explain the form, content and management assertions in SOC 1, SOC 2 and SOC 3 reports. Perform procedures to plan SOC 1 and SOC 2 engagement and draft the engagement reports. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 425 - Auditing and Control Environment (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189933
ACCT 431,Federal Taxation of Business Entities(opens in a new tab),3,"ACCT 312 and ACCT 331, both with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous",,A-F,,,ACCT 431 - Federal Taxation of Business Entities (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189583
ACCT 434,"Tax Compliance, Planning and Applied Tax Research(opens in a new tab)",3,"ACCT 312, ACCT331 and ACCT 431 with grade C or better in all courses. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: 1. Demonstrate knowledge of the concepts, principles, and rules of taxation of individuals and business entities. 2. Recognize tax and financial planning opportunities and recommend appropriate tax-saving strategies for decision-making. 3. Address tax situations for a variety of taxpayers, such as individuals, C corporations, S corporations, and partnerships. 4. Analyze the tax implications of entity selection and formation across multiple entity types. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .","ACCT 434 - Tax Compliance, Planning and Applied Tax Research (opens in a new tab) Units: 3",https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189741
ACCT 440,Advanced Accounting Information Systems(opens in a new tab),3,"ACCT 341 with grade C or better Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: Demonstrate how to use database management systems to query and analyze internal accounting records. Demonstrate how to integrate Access and Excel to prepare financial budgets. Explain how financial accounting subsystems operate within an enterprise resource planning (ERP) system. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .,ACCT 440 - Advanced Accounting Information Systems (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189824
ACCT 442,Corporate Sustainability Accounting Reporting(opens in a new tab),3,"ACCT 311 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify the environmental, social, and economic aspects of corporate activity Identify various corporate social responsibility and sustainability reporting frameworks and standards Recall the different theories and models of corporate social responsibility and sustainability reporting Analyze corporate social responsibility and/or sustainability report content to make informed business decisions Explain how business decisions affect prospects of sustainability at various levels Sustainability Overlay Learning Outcomes Discuss multiple dimensions of sustainability, including the scientific, social, cultural, and/or economic. Analyze interactions between human activities and natural systems. Describe strategies taken by individuals, communities, organizations, or governments for mitigating and/or adapting to key threats to environmental sustainability. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 442 - Corporate Sustainability Accounting Reporting (opens in a new tab) Units: 3 ; Sustainability,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189995
ACCT 490,Independent Study(opens in a new tab),1-4,Department consent and minimum 2.0 GPA. Credit Restrictions: No more than 9,,A-F or CR/NC (student choice). Student Learning Outcomes - Upon successful completion of this course students will be able to: Student learning outcomes vary depending on the objectives of the independent study. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .,,,ACCT 490 - Independent Study (opens in a new tab) Units: 1-4,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=188954
ACCT 498,Internship(opens in a new tab),1-3,Department consent and minimum 2.0 GPA. Credit Restrictions: No,,CR/NC,,,ACCT 498 - Internship (opens in a new tab) Units: 1-3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189394
ACCT 499,Capstone: Financial Statement Reporting and Analysis(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Assess a company’s business operations within its competitive environment. Describe the basics of XBRL reporting. Collect financial and accounting data and restate them based on supplemental disclosures. Explain and apply return on equity disaggregation to analyze and compare profitability, efficiency, and financial leverage. Prepare forecasted financial statements and assess the reasonableness of these forecasts. Choose proper discount rate to estimate a company’s value using various models. Apply effective collaboration techniques to prepare and present a business analysis report. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 499 - Capstone: Financial Statement Reporting and Analysis (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189786
ACCT 604,Financial Accounting(opens in a new tab),3,Post-baccalaureate standing. Possible Instructional Methods: On-ground or Hybrid,,A-F,,,ACCT 604 - Financial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187422
ACCT 611,Financial Accounting and Reporting I(opens in a new tab),3,"ACCT 210 with grade B- or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall, Spring, or Summer Student Learning Outcomes - Upon successful completion of this course students will be able to: Prepare an income statement and describe issues dealing with its content, presentation, and disclosure. Prepare a classified balance sheet and describe issues dealing with its content, presentation, and disclosure. Apply the five-step model for revenue recognition from contracts with customers. Illustrate the accounting for transactions related to cash, receivables, inventories, operating tangible and intangible assets, and current liabilities, including their presentation on financial statements. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 611 - Financial Accounting and Reporting I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186865
ACCT 612,Financial Accounting and Reporting II(opens in a new tab),3,"ACCT 210 with grade B- or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,,ACCT 612 - Financial Accounting and Reporting II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186866
ACCT 613,Advanced Topics in Accounting(opens in a new tab),3,"ACCT 612 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,,ACCT 613 - Advanced Topics in Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186867
ACCT 621,Accountants’ Ethics and Professional Responsibilities(opens in a new tab),3,ACCT 210 with grade B- or better. Possible Instructional Methods: On-ground,,A-F,,,ACCT 621 - Accountants’ Ethics and Professional Responsibilities (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186868
ACCT 622,Auditing Theory and Practice I(opens in a new tab),3,"ACCT 612 and ACCT 641 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,,ACCT 622 - Auditing Theory and Practice I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186869
ACCT 623,Auditing Theory and Practice II(opens in a new tab),3,"ACCT 622 with a grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall, Spring, or Summer Student Learning Outcomes - Upon successful completion of this course students will be able to: Perform procedures to conclude the effectiveness of the relevant automated and manual controls within the flow of an entity’s transactions for business processes. Identify and document the types of threats and attacks on an entity’s information systems. Apply current regulations and standards related to information security and privacy to assess and document the design and implementation of accounting information systems and controls. Determine and apply the appropriate audit procedures to test an entity’s controls over security, confidentiality, and privacy to draft the engagement report. Assess the management assertions in SOC 1, SOC 2 and SOC 3 reports to conclude the appropriate form and content of those reports. Plan, perform, and evaluate SOC 1 and SOC 2 engagements. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 623 - Auditing Theory and Practice II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186870
ACCT 630,Federal Taxation of Individuals and Sole Proprietors(opens in a new tab),3,"ACCT 210 with B- or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,,ACCT 630 - Federal Taxation of Individuals and Sole Proprietors (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189584
ACCT 631,Federal Taxation of Corporations and Flow-Through Entities(opens in a new tab),3,"ACCT 612 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,,ACCT 631 - Federal Taxation of Corporations and Flow-Through Entities (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186871
ACCT 639,Business Law and Regulation(opens in a new tab),3,ACCT 210 with grade B- or better. Possible Instructional Methods: On-ground,,A-F,,,ACCT 639 - Business Law and Regulation (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186872
ACCT 641,Data Analytics in Accounting I(opens in a new tab),3,"ACCT 210. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall, Spring, or Summer Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify and integrate the accounting information produced from the five key accounting and business cycles; Explain how the COSO internal control frameworks can be used to assess risks and controls; Investigate a business process model (e.g., flowchart, data flow diagram, business process model and notation (BPMN) diagram) to identify potential improvements; Examine a relational database’s structure to determine whether it applies data integrity rules; Examine a standard SQL query (common commands, clauses, operators, aggregate functions and string functions) to determine whether the retrieved data set is relevant and complete. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 641 - Data Analytics in Accounting I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189581
ACCT 642,Data Analytics in Accounting II(opens in a new tab),3,"ACCT 641. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,,ACCT 642 - Data Analytics in Accounting II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189582
ACCT 671,Business Communications and Professional Development I(opens in a new tab),1.5,"M.S. Accounting major. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,,ACCT 671 - Business Communications and Professional Development I (opens in a new tab) Units: 1.5,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186873
